UP000000212	GCA_000317975.2
UP000000805	GCA_000091665.1
UP000000806	GCA_000195855.1
UP000000807	GCA_000027325.1
UP000000808	GCA_000027345.1
UP000000809	GCA_000006825.1
UP000000811	GCA_000008605.1
UP000000812	GCA_000006725.1
UP000000813	GCA_000092025.1
UP000000814	GCA_000008765.1
UP000000815	GCA_000009065.1
UP000000817	GCA_000196035.1
UP000000818	GCA_000009685.1
UP000000821	GCA_000007265.1
UP000000822	GCA_000011245.1
UP000000825	GCA_000872965.1
UP000000826	GCA_000864005.1
UP000000831	GCA_000855445.1
UP000000832	GCA_000858185.1
UP000000835	GCA_000856025.1
UP000000841	GCA_000023865.1
UP000000844	GCA_000024545.1
UP000000845	GCA_000024405.1
UP000000849	GCA_000092865.1
UP000000851	GCA_000024025.1
UP000000852	GCA_000023825.1
UP000000863	GCA_000865825.1
UP000000864	GCA_000839765.1
UP000000867	GCA_000843685.1
UP000000868	GCA_000847965.1
UP000000870	GCA_000844845.1
UP000000871	GCA_000839965.1
UP000000925	GCA_000025905.1
UP000000927	GCA_000025925.1
UP000000930	GCA_000092265.1
UP000000935	GCA_000025825.1
UP000000936	GCA_000091725.1
UP000000938	GCA_000845245.1
UP000000939	GCA_000092245.1
UP000000941	GCA_000838825.1
UP000000948	GCA_000010825.1
UP000000954	GCA_000023845.1
UP000000960	GCA_000024225.1
UP000000969	GCA_000865785.1
UP000001007	GCA_000006985.1
UP000001010	GCA_000007145.1
UP000001013	GCA_000007305.1
UP000001014	GCA_000006945.2
UP000001015	GCA_000011205.1
UP000001016	GCA_000011445.1
UP000001018	GCA_000012285.1
UP000001022	GCA_000007945.1
UP000001023	GCA_000011965.2
UP000001024	GCA_000195915.1
UP000001025	GCA_000196115.1
UP000001026	GCA_000011465.1
UP000001029	GCA_000020145.1
UP000001031	GCA_000020225.1
UP000001035	GCA_000009485.1
UP000001036	GCA_000019225.1
UP000001037	GCA_000223395.1
UP000001038	GCA_000313675.1
UP000001052	GCA_000024325.1
UP000001054	GCA_000018545.1
UP000001055	GCA_000146915.2
UP000001056	GCA_000143365.1
UP000001058	GCA_000143455.1
UP000001059	GCA_000025865.1
UP000001060	GCA_000091785.1
UP000001062	GCA_000192865.1
UP000001063	GCA_000848485.1
UP000001064	GCA_000190715.1
UP000001067	GCA_000166005.1
UP000001070	GCA_000005155.1
UP000001072	GCA_000204055.1
UP000001073	GCA_000146795.3
UP000001074	GCA_000147115.1
UP000001075	GCA_000223135.1
UP000001096	GCA_000314675.2
UP000001098	GCA_000853345.1
UP000001099	GCA_000850585.1
UP000001100	GCA_000854885.1
UP000001101	GCA_000868185.1
UP000001102	GCA_000851365.1
UP000001103	GCA_000874705.1
UP000001106	GCA_000017185.1
UP000001110	GCA_000016905.1
UP000001113	GCA_000017285.1
UP000001114	GCA_000017245.1
UP000001115	GCA_000063525.1
UP000001116	GCA_000017305.1
UP000001118	GCA_000010325.1
UP000001119	GCA_000880735.1
UP000001120	GCA_000015785.1
UP000001131	GCA_000017005.1
UP000001136	GCA_000014025.1
UP000001137	GCA_000018305.1
UP000001168	GCA_000009825.1
UP000001169	GCA_000011085.1
UP000001170	GCA_000011825.1
UP000001171	GCA_000008465.1
UP000001172	GCA_000009785.1
UP000001173	GCA_000007105.1
UP000001174	GCA_000008985.1
UP000001176	GCA_000067045.1
UP000001179	GCA_000879135.1
UP000001185	GCA_000019365.1
UP000001189	GCA_000844025.1
UP000001190	GCA_000018345.1
UP000001191	GCA_000020025.1
UP000001192	GCA_000020045.1
UP000001194	GCA_000143565.1
UP000001201	GCA_000020325.1
UP000001203	GCA_000017845.1
UP000001208	GCA_000020525.1
UP000001213	GCA_000092225.1
UP000001219	GCA_000024785.1
UP000001225	GCA_000067205.1
UP000001227	GCA_000020565.1
UP000001228	GCA_000020545.1
UP000001231	GCA_000024085.1
UP000001235	GCA_000145255.1
UP000001258	GCA_000011145.1
UP000001259	GCA_000056065.1
UP000001261	GCA_000149335.2
UP000001274	GCA_000283535.1
UP000001275	GCA_000283515.1
UP000001279	GCA_000224985.1
UP000001285	GCA_000225325.1
UP000001292	GCA_000005215.1
UP000001294	GCA_000001985.1
UP000001295	GCA_000889755.1
UP000001299	GCA_000145035.1
UP000001300	GCA_000002525.1
UP000001302	GCA_000152825.2
UP000001303	GCA_000147015.1
UP000001304	GCA_000145985.1
UP000001306	GCA_000007665.1
UP000001307	GCA_000209535.1
UP000001312	GCA_000146945.2
UP000001313	GCA_000018005.1
UP000001316	GCA_000019145.1
UP000001318	GCA_000069225.1
UP000001319	GCA_000010185.1
UP000001325	GCA_000309845.1
UP000001332	GCA_000309945.1
UP000001349	GCA_000022065.1
UP000001351	GCA_000165485.1
UP000001355	GCA_000017885.4
UP000001357	GCA_000002865.1
UP000001358	GCA_000869125.1
UP000001361	GCA_000021385.1
UP000001362	GCA_000021485.1
UP000001366	GCA_000021565.1
UP000001368	GCA_000026605.1
UP000001369	GCA_000021545.1
UP000001377	GCA_000024265.1
UP000001382	GCA_000025345.1
UP000001383	GCA_000010585.1
UP000001384	GCA_000161295.1
UP000001396	GCA_000004825.1
UP000001397	GCA_000177195.2
UP000001398	GCA_000865625.1
UP000001399	GCA_000166055.1
UP000001400	GCA_000025665.1
UP000001401	GCA_000177235.2
UP000001405	GCA_000025125.1
UP000001408	GCA_000092565.1
UP000001409	GCA_000011305.1
UP000001412	GCA_000007625.1
UP000001414	GCA_000011065.1
UP000001415	GCA_000007785.1
UP000001416	GCA_000009145.1
UP000001417	GCA_000007825.1
UP000001418	GCA_000092585.1
UP000001420	GCA_000007925.1
UP000001422	GCA_000195975.1
UP000001423	GCA_000011485.1
UP000001424	GCA_000007705.1
UP000001425	GCA_000009725.1
UP000001426	GCA_000195775.1
UP000001432	GCA_000015885.1
UP000001436	GCA_000009125.1
UP000001441	GCA_000025485.1
UP000001442	GCA_000175115.2
UP000001444	GCA_000091305.1
UP000001449	GCA_000149405.2
UP000001450	GCA_000002765.1
UP000001453	GCA_000159155.2
UP000001460	GCA_000006515.1
UP000001466	GCA_000858505.1
UP000001471	GCA_000149985.1
UP000001473	GCA_000023145.1
UP000001476	GCA_000146185.1
UP000001477	GCA_000020605.1
UP000001485	GCA_000022885.2
UP000001488	GCA_000022365.1
UP000001491	GCA_000026765.1
UP000001492	GCA_000175215.2
UP000001498	GCA_000144405.1
UP000001505	GCA_000092785.1
UP000001508	GCA_000092205.1
UP000001510	GCA_000010625.1
UP000001511	GCA_000196515.1
UP000001512	GCA_000023725.1
UP000001514	GCA_000143415.2
UP000001519	GCA_000151905.3
UP000001520	GCA_000010985.1
UP000001522	GCA_000091985.1
UP000001542	GCA_000002825.1
UP000001544	GCA_000005825.2
UP000001548	GCA_000002435.1
UP000001549	GCA_000177615.2
UP000001550	GCA_000148685.1
UP000001551	GCA_000178115.2
UP000001554	GCA_000003815.1
UP000001555	GCA_000208615.1
UP000001556	GCA_000016165.1
UP000001558	GCA_000016065.1
UP000001565	GCA_000063545.1
UP000001566	GCA_000063505.1
UP000001567	GCA_000016385.1
UP000001568	GCA_000092065.1
UP000001570	GCA_000009045.1
UP000001572	GCA_000016985.1
UP000001578	GCA_000015745.1
UP000001584	GCA_000195955.2
UP000001591	GCA_000016185.1
UP000001593	GCA_000209225.1
UP000001595	GCA_000001545.3
UP000001596	GCA_000016285.1
UP000001600	GCA_000016265.1
UP000001601	GCA_000152985.1
UP000001602	GCA_000153165.2
UP000001603	GCA_000153265.1
UP000001610	GCA_000225605.1
UP000001611	GCA_000150675.2
UP000001619	GCA_000024165.1
UP000001624	GCA_000175935.2
UP000001625	GCA_000025705.1
UP000001628	GCA_000150735.2
UP000001629	GCA_000175095.2
UP000001631	GCA_000150115.1
UP000001635	GCA_000222485.1
UP000001636	GCA_000270205.1
UP000001640	GCA_000237345.1
UP000001645	GCA_000146605.3
UP000001646	GCA_000090745.2
UP000001651	GCA_000014525.1
UP000001652	GCA_000014465.1
UP000001654	GCA_000023465.1
UP000001660	GCA_000196815.1
UP000001661	GCA_000144695.1
UP000001662	GCA_000144625.1
UP000001664	GCA_000854485.1
UP000001665	GCA_000856325.1
UP000001668	GCA_000850625.1
UP000001669	GCA_000851445.1
UP000001670	GCA_000883315.1
UP000001672	GCA_000854325.1
UP000001673	GCA_000837505.1
UP000001674	GCA_000879275.1
UP000001675	GCA_000853265.1
UP000001676	GCA_000866085.1
UP000001677	GCA_000863765.1
UP000001681	GCA_000019905.1
UP000001683	GCA_000020005.1
UP000001685	GCA_000010605.1
UP000001686	GCA_000019605.1
UP000001688	GCA_000019485.1
UP000001691	GCA_000146025.1
UP000001693	GCA_000019785.1
UP000001695	GCA_000019845.1
UP000001700	GCA_000093065.1
UP000001702	GCA_000025405.2
UP000001726	GCA_000026185.1
UP000001727	GCA_000069945.1
UP000001732	GCA_000020945.1
UP000001743	GCA_000006255.1
UP000001744	GCA_000149845.2
UP000001745	GCA_000003125.1
UP000001746	GCA_000023965.1
UP000001784	GCA_000014965.1
UP000001785	GCA_000843785.1
UP000001803	GCA_000022105.1
UP000001805	GCA_000182925.2
UP000001806	GCA_000009605.1
UP000001807	GCA_000008685.2
UP000001811	GCA_000003625.1
UP000001816	GCA_000006905.1
UP000001817	GCA_000013645.1
UP000001819	GCA_000001765.2
UP000001820	GCA_000014245.1
UP000001822	GCA_000014145.1
UP000001826	GCA_000007185.1
UP000001844	GCA_000024725.1
UP000001845	GCA_000025845.1
UP000001847	GCA_000017685.1
UP000001861	GCA_000182895.1
UP000001868	GCA_000017265.1
UP000001872	GCA_000020785.1
UP000001875	GCA_000006275.2
UP000001876	GCA_000151265.1
UP000001877	GCA_000010165.1
UP000001879	GCA_000025625.1
UP000001880	GCA_000024805.1
UP000001881	GCA_000182805.2
UP000001882	GCA_000011005.1
UP000001883	GCA_000011025.1
UP000001887	GCA_000025185.1
UP000001889	GCA_000027085.1
UP000001890	GCA_000087965.1
UP000001901	GCA_000025285.1
UP000001902	GCA_000025305.1
UP000001903	GCA_000025325.1
UP000001908	GCA_000145235.1
UP000001910	GCA_000023905.1
UP000001916	GCA_000092125.1
UP000001917	GCA_000024285.1
UP000001918	GCA_000024385.1
UP000001919	GCA_000023405.1
UP000001926	GCA_000208925.2
UP000001929	GCA_000013085.1
UP000001931	GCA_000012545.1
UP000001932	GCA_000010085.1
UP000001933	GCA_000013405.1
UP000001935	GCA_000013385.1
UP000001936	GCA_000092045.1
UP000001937	GCA_000013345.1
UP000001938	GCA_000013225.1
UP000001940	GCA_000002985.3
UP000001941	GCA_000013445.1
UP000001942	GCA_000013165.1
UP000001943	GCA_000013125.1
UP000001946	GCA_000010045.1
UP000001947	GCA_000013665.1
UP000001948	GCA_000013745.1
UP000001950	GCA_000003225.1
UP000001951	GCA_000012385.1
UP000001953	GCA_000013885.1
UP000001955	GCA_000262305.1
UP000001959	GCA_000013025.1
UP000001961	GCA_000014585.1
UP000001962	GCA_000014785.1
UP000001963	GCA_000014285.1
UP000001964	GCA_000014745.1
UP000001966	GCA_000014765.1
UP000001968	GCA_000014725.1
UP000001973	GCA_000203835.1
UP000001974	GCA_000007005.1
UP000001976	GCA_000006965.1
UP000001977	GCA_000070465.1
UP000001979	GCA_000013725.1
UP000001981	GCA_000014225.1
UP000001982	GCA_000013765.1
UP000001983	GCA_000013865.1
UP000001986	GCA_000063585.1
UP000001989	GCA_000016765.1
UP000001991	GCA_000016825.1
UP000001992	GCA_000016525.1
UP000001993	GCA_000016885.1
UP000001994	GCA_000026145.1
UP000001996	GCA_000149685.1
UP000001997	GCA_000149425.1
UP000002007	GCA_000018885.1
UP000002008	GCA_000018865.1
UP000002009	GCA_000090985.2
UP000002010	GCA_000021025.1
UP000002011	GCA_000023125.1
UP000002012	GCA_000025725.1
UP000002016	GCA_000017865.1
UP000002019	GCA_000146065.1
UP000002020	GCA_000026205.1
UP000002026	GCA_000023885.1
UP000002027	GCA_000024985.1
UP000002028	GCA_000024525.1
UP000002029	GCA_000024865.1
UP000002030	GCA_000024905.1
UP000002033	GCA_000143145.1
UP000002034	GCA_000166075.1
UP000002035	GCA_000151145.1
UP000002036	GCA_000142805.1
UP000002037	GCA_000006335.3
UP000002038	GCA_000003855.2
UP000002039	GCA_000003525.2
UP000002040	GCA_000010725.1
UP000002043	GCA_000025605.1
UP000002045	GCA_000027225.1
UP000002051	GCA_000219495.2
UP000002058	GCA_000003515.2
UP000002059	GCA_000150705.2
UP000002060	GCA_000859885.1
UP000002061	GCA_000092305.1
UP000002066	GCA_000176115.2
UP000002072	GCA_000024565.1
UP000002077	GCA_000022905.1
UP000002084	GCA_000018625.1
UP000002111	GCA_000845205.1
UP000002127	GCA_000847485.1
UP000002139	GCA_000067165.1
UP000002145	GCA_000015865.1
UP000002148	GCA_000014205.1
UP000002149	GCA_000091045.1
UP000002156	GCA_000019085.1
UP000002166	GCA_000026405.1
UP000002168	GCA_000019525.1
UP000002171	GCA_000153345.1
UP000002172	GCA_000153385.1
UP000002185	GCA_000092605.1
UP000002186	GCA_000021765.1
UP000002187	GCA_000022645.2
UP000002191	GCA_000176915.2
UP000002192	GCA_000043285.1
UP000002194	GCA_000195755.1
UP000002195	GCA_000004695.1
UP000002196	GCA_000006865.1
UP000002198	GCA_000195815.1
UP000002199	GCA_000008665.1
UP000002200	GCA_000007485.1
UP000002204	GCA_000010105.1
UP000002207	GCA_000022565.1
UP000002208	GCA_000020685.1
UP000002209	GCA_000010305.1
UP000002213	GCA_000023245.1
UP000002215	GCA_000024005.1
UP000002216	GCA_000023225.1
UP000002217	GCA_000024205.1
UP000002218	GCA_000024365.1
UP000002219	GCA_000092985.1
UP000002220	GCA_000092105.1
UP000002221	GCA_000024845.1
UP000002222	GCA_000024885.1
UP000002226	GCA_000150015.2
UP000002238	GCA_000849845.1
UP000002239	GCA_000850725.1
UP000002245	GCA_000839385.1
UP000002246	GCA_000849605.1
UP000002247	GCA_000092825.1
UP000002254	GCA_000002285.2
UP000002255	GCA_000024965.1
UP000002257	GCA_000021745.1
UP000002258	GCA_000209165.1
UP000002277	GCA_000001515.5
UP000002279	GCA_000002275.2
UP000002280	GCA_000002295.1
UP000002281	GCA_000002305.1
UP000002287	GCA_000016205.1
UP000002297	GCA_000196315.1
UP000002300	GCA_000017425.1
UP000002301	GCA_000017405.1
UP000002311	GCA_000146045.2
UP000002315	GCA_000166095.1
UP000002318	GCA_000143985.1
UP000002319	GCA_000862985.1
UP000002320	GCA_000209185.1
UP000002321	GCA_000839505.1
UP000002327	GCA_000850045.1
UP000002328	GCA_000862725.1
UP000002331	GCA_000856685.1
UP000002332	GCA_000009225.1
UP000002334	GCA_000021705.1
UP000002339	GCA_000847305.1
UP000002349	GCA_000143165.1
UP000002350	GCA_000091325.1
UP000002356	GCA_000298735.2
UP000002357	GCA_000163875.1
UP000002358	GCA_000002325.2
UP000002360	GCA_000093145.2
UP000002361	GCA_000021865.1
UP000002366	GCA_000025885.1
UP000002368	GCA_000092905.1
UP000002371	GCA_000091765.1
UP000002376	GCA_000092185.1
UP000002377	GCA_000092945.1
UP000002381	GCA_000024685.1
UP000002382	GCA_000023325.1
UP000002383	GCA_000021985.1
UP000002384	GCA_000021825.1
UP000002386	GCA_000023385.1
UP000002402	GCA_000012685.1
UP000002407	GCA_000017585.1
UP000002408	GCA_000017625.1
UP000002411	GCA_000016505.1
UP000002415	GCA_000017545.1
UP000002417	GCA_000017645.1
UP000002420	GCA_000020385.1
UP000002424	GCA_000021045.1
UP000002427	GCA_000013185.1
UP000002428	GCA_000002545.2
UP000002429	GCA_000196015.1
UP000002430	GCA_000055945.1
UP000002431	GCA_000196275.1
UP000002432	GCA_000014005.1
UP000002438	GCA_000006765.1
UP000002439	GCA_000007225.1
UP000002440	GCA_000013705.1
UP000002453	GCA_000021285.1
UP000002456	GCA_000021425.1
UP000002457	GCA_000021965.1
UP000002471	GCA_000865325.1
UP000002472	GCA_000855545.1
UP000002473	GCA_000851705.1
UP000002480	GCA_000195735.1
UP000002483	GCA_000009705.1
UP000002484	GCA_000166135.1
UP000002485	GCA_000002945.2
UP000002487	GCA_000007345.1
UP000002489	GCA_000222805.1
UP000002493	GCA_000196095.1
UP000002495	GCA_000007905.1
UP000002497	GCA_000170175.2
UP000002498	GCA_000187425.2
UP000002499	GCA_000187405.1
UP000002500	GCA_000862125.1
UP000002501	GCA_000848745.1
UP000002502	GCA_000864745.1
UP000002505	GCA_000022025.1
UP000002509	GCA_000003075.2
UP000002510	GCA_000023585.1
UP000002511	GCA_000022045.1
UP000002512	GCA_000007465.2
UP000002514	GCA_000196155.1
UP000002515	GCA_000007805.1
UP000002518	GCA_000011125.1
UP000002521	GCA_000007325.1
UP000002522	GCA_000011225.1
UP000002523	GCA_000009845.1
UP000002524	GCA_000008565.1
UP000002526	GCA_000011365.1
UP000002528	GCA_000012345.1
UP000002530	GCA_000002655.1
UP000002531	GCA_000012725.1
UP000002534	GCA_000012885.1
UP000002535	GCA_000012465.1
UP000002566	GCA_000020205.1
UP000002569	GCA_000146265.4
UP000002572	GCA_000177635.2
UP000002574	GCA_000010785.1
UP000002586	GCA_000014865.1
UP000002587	GCA_000015105.1
UP000002588	GCA_000061505.1
UP000002593	GCA_000015145.1
UP000002596	GCA_000015325.1
UP000002598	GCA_000022125.1
UP000002601	GCA_000023445.1
UP000002608	GCA_000018285.1
UP000002613	GCA_000025505.1
UP000002620	GCA_000024605.1
UP000002624	GCA_000151035.1
UP000002629	GCA_000092285.1
UP000002630	GCA_000310025.1
UP000002631	GCA_000085865.1
UP000002640	GCA_000149755.2
UP000002642	GCA_000278845.1
UP000002648	GCA_000278295.1
UP000002654	GCA_000253055.1
UP000002663	GCA_000283615.1
UP000002669	GCA_000150975.2
UP000002671	GCA_000007765.2
UP000002675	GCA_000009745.1
UP000002676	GCA_000195715.1
UP000002677	GCA_000198515.1
UP000002686	GCA_000239815.2
UP000002696	GCA_000144605.1
UP000002697	GCA_000203875.1
UP000002698	GCA_000026045.1
UP000002703	GCA_000012905.2
UP000002706	GCA_000012865.1
UP000002707	GCA_000026065.1
UP000002708	GCA_000012585.1
UP000002709	GCA_000012485.1
UP000002710	GCA_000012665.1
UP000002713	GCA_000012605.1
UP000002714	GCA_000012965.1
UP000002716	GCA_000012005.1
UP000002717	GCA_000012525.1
UP000002718	GCA_000196355.1
UP000002719	GCA_000054005.1
UP000002724	GCA_000020645.1
UP000002725	GCA_000020625.1
UP000002727	GCA_000018365.1
UP000002729	GCA_000186865.1
UP000002730	GCA_000145275.1
UP000002741	GCA_000021505.1
UP000002742	GCA_000023705.1
UP000002743	GCA_000023745.1
UP000002745	GCA_000023785.1
UP000002749	GCA_000291645.1
UP000002751	GCA_000291625.1
UP000002753	GCA_000167075.2
UP000002754	GCA_000292245.2
UP000002759	GCA_000225565.1
UP000002762	GCA_000280675.1
UP000002770	GCA_000162755.2
UP000002772	GCA_000218235.1
UP000002774	GCA_000166195.3
UP000002779	GCA_000154905.1
UP000002785	GCA_000154965.1
UP000002786	GCA_000262545.1
UP000002793	GCA_000156295.1
UP000002801	GCA_000177015.3
UP000002805	GCA_000154945.1
UP000002852	GCA_000241075.1
UP000002861	GCA_000012825.1
UP000002866	GCA_000315915.1
UP000002868	GCA_000262165.1
UP000002869	GCA_000262205.1
UP000002872	GCA_000190615.1
UP000002875	GCA_000263195.1
UP000002881	GCA_000147715.3
UP000002892	GCA_000255115.3
UP000002895	GCA_000271405.2
UP000002899	GCA_000691945.2
UP000002914	GCA_000154765.2
UP000002930	GCA_000293785.1
UP000002931	GCA_000152805.1
UP000002935	GCA_000153045.1
UP000002938	GCA_000178255.1
UP000002939	GCA_000162475.2
UP000002941	GCA_000296275.1
UP000002943	GCA_000165125.2
UP000002944	GCA_000156335.1
UP000002945	GCA_000154725.1
UP000002949	GCA_000233995.2
UP000002955	GCA_000204035.1
UP000002964	GCA_000228725.3
UP000002967	GCA_000260795.1
UP000002968	GCA_000158975.1
UP000002969	GCA_000143785.1
UP000002970	GCA_000189595.1
UP000002975	GCA_000158235.1
UP000002985	GCA_000296795.1
